record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp
PR007308,2026-06-15,MANDI-048,Jalandhar,Cotton,6414.53,7817.45,7115.99,
PR011358,2026-03-03,MANDI-027,Hisar,Wheat,1957.21,2120.7088850785995,2038.96,0.2275
PR002849,2026-02-19,MANDI-043,Jalandhar,Wheat,2108.38,2303.0,2205.49,
PR000278,2026-02-04,MANDI-002,,Maize,2028.0,0.242,2224.0,2090.0
PR010767,2026-01-26,MANDI-049,Patiala,Cotton,6176.37,7109.091862971616,6642.73,
PR009416,2026-05-06,,,Rice,1918.74,2304.0,0.2111,2183.0
PR006769,2026-08-02,,,Wheat,2047.45,2342.22,2195.0,2275.0
PR005062,2026-08-29,MANDI-057,Ferozepur,Sugarcane,3331.999425085686,3987.3206060919074,3659.66,
PR006581,2026-06-17,MANDI-012,Kurukshetra,Mustard,5447.43517291978,6539.0,,5650.0
PR003411,2026-07-25,MANDI-050,Bathinda,Mustard,5673.4,,6244.0,
PR001183,2026-06-28,MANDI-051,,Wheat,2311.342582562423,2580.92,2446.13,2275.0
PR003889,2026-05-29,,Sirsa,Cotton,0.6089,6442.05,6265.64,
PR006057,2026-03-28,,Ludhiana,Rice,1970.36,2238.5,0.2104,0.2183
PR010183,2026-01-13,MANDI-023,Kurukshetra,Maize,0.1863,2087.97,1975.71,0.209
PR000371,2026-08-07,MANDI-018,Fatehabad,Mustard,5054.0,5585.96,5320.06,5650.0
PR006590,2026-05-24,MANDI-035,Patiala,Wheat,2350.41,0.2731,2540.73,2275.0
PR010318,2026-02-15,MANDI-014,Amritsar,Sugarcane,0.3264,3445.4932241573993,0.3355,0.35
PR000090,2026-06-26,MANDI-040,Ambala,Maize,1881.8691227385789,,2003.89,2090.0
PR004915,2026-03-29,,Moga,Wheat,0.2155,,2340.1,0.2275
PR009953,2026-04-22,MANDI-028,Ambala,Rice,1901.88,2078.12,1990.0,2183.0
PR010106,2026-02-01,MANDI-042,Bathinda,Cotton,6136.0,6538.69,6337.33,
PR000014,2026-02-08,MANDI-028,Hisar,Wheat,2100.07,2375.64,2238.0,2275.0
PR000287,2026-04-13,MANDI-031,,Wheat,2103.01,2276.59,2189.8,2275.0
PR004723,2026-12-04,MANDI-020,Kurukshetra,Wheat,0.196,2441.0,2200.7,2275.0
PR000290,2026-08-07,MANDI-024,Bathinda,Sugarcane,3589.02,3950.83341499987,3769.93,3500.0
PR000885,2026-04-26,MANDI-016,Kurukshetra,Mustard,4928.43761867252,5446.76,0.5188,5650.0
PR006785,2026-07-31,MANDI-025,Karnal,Rice,0.2112,2555.56,0.2334,2183.0
PR011132,2026-03-30,MANDI-020,Sirsa,Sugarcane,3250.83,3969.99,0.361,3500.0
PR000072,2026-06-01,MANDI-047,Amritsar,Wheat,2020.69,,2160.48,2275.0
PR008759,2026-10-04,MANDI-042,Moga,Rice,1916.22,2381.0,2148.0,2183.0
PR002705,2026-06-11,,,Mustard,4886.19,5692.39,5289.29,
PR011585,2026-01-28,MANDI-016,Jalandhar,Sugarcane,3395.0,3710.84,3552.76,
PR001860,2026-04-18,,Sirsa,Sugarcane,3233.75,3496.33,0.3365,
PR001126,2026-03-20,MANDI-003,Amritsar,Rice,1889.99,2165.52,,2183.0
PR001877,2026-04-28,MANDI-038,Ludhiana,Cotton,6070.34,0.6646,6357.95,
PR004804,2026-08-10,MANDI-015,Fatehabad,Sugarcane,0.3036,3480.16,3257.9,3500.0
PR005224,2026-08-06,MANDI-019,Ludhiana,Cotton,5856.97,6404.1,6130.53,0.662
PR011327,2026-07-20,MANDI-020,Hisar,Mustard,0.5578,6771.16,6175.0,5650.0
PR003657,2026-07-06,MANDI-049,Moga,Mustard,5526.458101463893,6776.9,6151.677939662541,5650.0
PR004286,2026-02-13,MANDI-020,Sirsa,Mustard,4839.19,5232.752108331381,5036.0,0.565
PR009464,2026-05-12,MANDI-054,Sirsa,Mustard,,6269.21,5795.0,5650.0
PR009540,2026-08-17,MANDI-036,Ferozepur,Rice,2140.35,2314.92,,2183.0
PR008741,2026-05-28,,Hisar,Mustard,5551.23,6183.12,5867.18,5650.0
PR006103,2026-06-11,MANDI-032,Fatehabad,Mustard,4861.23,5327.596778987246,5094.0,5650.0
PR004446,2026-04-01,MANDI-012,Jalandhar,Wheat,2054.38,2163.73,2109.06,2275.0
PR008501,2026-06-21,MANDI-047,Ambala,Maize,2055.01,2496.0,,0.209
PR009136,2026-08-31,MANDI-005,Hisar,Mustard,5172.652159477422,0.563,5401.09,5650.0
PR006128,2026-08-22,MANDI-029,Bathinda,Sugarcane,3586.69,4146.78,0.3867,3500.0
PR003726,2026-03-16,MANDI-047,,Wheat,,2382.0,2300.9,0.2275
PR004026,2026-04-13,MANDI-002,Amritsar,Maize,2131.44,2417.37,2274.41,2090.0
PR006940,2026-07-15,,Sirsa,Wheat,2027.0,2491.3,2259.35,2275.0
PR005645,2026-05-03,MANDI-033,Bathinda,Sugarcane,3040.1534854977804,3610.64,3325.0,3500.0
PR000750,2026-03-08,MANDI-040,Ambala,Wheat,2215.18,2565.59,2390.0,2275.0
PR010477,2026-03-08,MANDI-013,Moga,Mustard,4997.0,,5469.33,
PR000039,2026-07-15,,,Maize,1962.5739438804824,2442.29,2202.4319069968533,0.209
PR011063,2026-09-05,MANDI-027,,Sugarcane,3640.7,0.3951,0.3796,3500.0
PR011564,2026-04-28,MANDI-053,Patiala,Sugarcane,3045.97,3222.0,3133.91,
PR007008,2026-08-04,MANDI-049,Fatehabad,Sugarcane,3369.49,4021.331053658642,3695.41,3500.0
PR003175,2026-04-14,,,Wheat,2064.0,2298.0486185914897,2180.934103947472,
PR006920,2026-04-27,MANDI-054,,Rice,2220.0,2582.38,2400.95,
PR004602,2026-01-03,MANDI-002,,Mustard,5771.242300224399,6931.516916716651,6351.38,0.565
PR002404,2026-05-27,MANDI-035,Patiala,Wheat,2377.0,2583.0,2479.89,
PR003530,2026-03-13,MANDI-050,Sirsa,Maize,1916.33,0.2164,2040.26,2090.0
PR000052,2026-06-14,MANDI-039,Hisar,Rice,1893.66,0.2329,2111.0,2183.0
PR004884,2026-05-11,MANDI-029,Ambala,Mustard,4883.77,5935.74,5409.76,0.565
PR004396,2026-03-20,MANDI-039,Jalandhar,Wheat,2316.1367012365836,0.2639,2477.74,2275.0
PR005356,2026-03-25,MANDI-029,Sirsa,Mustard,5367.63,6494.201218716404,0.5931,5650.0
PR008385,2026-03-05,MANDI-007,Fatehabad,Cotton,0.6143,6676.52,6409.956297337709,
PR001049,2026-02-28,MANDI-018,Moga,Sugarcane,3544.39,4305.27,3924.83,0.35
PR001227,2026-05-28,MANDI-049,Ludhiana,Rice,0.2223,2360.0,2291.15,2183.0
PR002021,2026-02-15,MANDI-053,Kurukshetra,Sugarcane,2975.02,3540.228356606027,3257.62,3500.0
PR002840,2026-08-07,MANDI-055,Jalandhar,Rice,1909.34,2007.0,1958.1,
PR001582,2026-09-07,MANDI-020,Ambala,Mustard,,6323.0,6051.36,0.565
PR007108,2026-08-13,MANDI-037,,Sugarcane,0.3272,3501.56,3386.98,3500.0
PR002341,2026-01-12,MANDI-053,Karnal,Wheat,2267.0,2644.35,2455.58,2275.0
PR005608,2026-02-06,,Bathinda,Sugarcane,3229.0,3715.85,3473.0,3500.0
PR001136,2026-04-18,MANDI-038,Ferozepur,Rice,2102.32,2442.07,2272.196527136316,2183.0
PR009689,2026-02-09,MANDI-048,Karnal,Wheat,0.2164,2591.0,,2275.0
PR002408,2026-02-22,MANDI-047,Ambala,Rice,2208.44,2509.35,2358.9,
PR004924,2026-03-13,MANDI-054,Bathinda,Wheat,,2411.0,2322.27,2275.0
PR003193,2026-03-30,MANDI-010,,Cotton,6317.87239055306,6975.84,6646.85,6620.0
PR005567,2026-01-07,MANDI-026,Ferozepur,Cotton,5830.38,0.6868,6349.04,
PR002815,2026-08-19,MANDI-030,,Mustard,5403.91,6606.69,6005.3,
PR000950,2026-08-20,MANDI-032,Patiala,Mustard,5880.31,6824.33,6352.32,5650.0
PR004751,2026-02-17,MANDI-028,Ambala,Mustard,4874.0,5365.0,5119.29,5650.0
PR008389,2026-07-08,MANDI-024,Amritsar,Sugarcane,3647.18,3970.64,3808.91,3500.0
PR008760,2026-05-07,MANDI-001,,Rice,1878.64,0.2162,2020.53,
PR011074,2026-07-29,MANDI-020,Fatehabad,Maize,2194.053527943877,2537.0,2365.44,2090.0
PR005674,2026-04-15,MANDI-008,Moga,Maize,1979.96,2214.64,2097.3,2090.0
PR005008,2026-01-31,MANDI-018,Amritsar,Wheat,2010.881479567271,2355.0,2183.0,
PR011356,2026-03-18,MANDI-043,Hisar,Maize,1954.52,0.2366,2160.21,2090.0
PR002972,2026-09-01,MANDI-022,Moga,Mustard,5071.97,,0.5639,5650.0
PR010128,2026-08-12,MANDI-028,Jalandhar,Sugarcane,3371.0,4039.65,3705.46,
PR011087,2026-05-18,MANDI-007,Hisar,Cotton,6778.52,,7571.13,6620.0
PR004868,2026-05-02,,Ludhiana,Mustard,0.5002,6193.71,5598.01,5650.0
PR008792,2026-02-08,MANDI-054,Karnal,Wheat,2009.0,2222.62,0.2116,
PR007739,2026-01-31,MANDI-014,Bathinda,Rice,,2361.8612565831104,2127.9743581320763,0.2183
PR002430,2026-05-16,MANDI-012,Amritsar,Cotton,6174.08,7548.55,6861.32,6620.0
PR004051,2026-01-31,MANDI-028,Ambala,Sugarcane,2980.0,3691.46,3336.0,3500.0
PR003668,2026-04-06,MANDI-046,Ferozepur,Wheat,2355.04,2804.03,2579.5355788650804,2275.0
PR004727,2026-08-21,MANDI-055,Kurukshetra,Cotton,6876.26,8157.95,7517.11,0.662
PR005138,2026-12-07,MANDI-029,Ludhiana,Maize,0.2096,2223.71,2159.61,
PR007759,2026-12-08,MANDI-047,Ferozepur,Cotton,6556.98,7685.55,7121.0,6620.0
PR011285,2026-03-21,MANDI-014,Amritsar,Rice,2080.71,2557.56,2319.13368564531,
PR001781,2026-01-29,,,Sugarcane,3328.0,,3495.26,3500.0
PR004208,2026-03-01,MANDI-055,Fatehabad,Sugarcane,3298.88,3885.0,3591.97,
PR009564,2026-06-02,,Sirsa,Rice,1917.9,2096.52,2007.21,2183.0
PR006507,2026-07-03,MANDI-026,Bathinda,Mustard,0.5898,7095.58,6497.0,5650.0
PR000400,2026-05-14,MANDI-013,Ambala,Cotton,6276.11,7009.0,0.6642,6620.0
PR007293,2026-04-07,MANDI-020,Bathinda,Wheat,,2422.25,2352.52,2275.0
PR008867,2026-01-05,MANDI-044,Moga,Wheat,2385.9,2639.48,,2275.0
PR001310,2026-04-19,MANDI-010,Amritsar,Wheat,2150.5,2332.55,2241.53,2275.0
PR005490,2026-03-16,MANDI-017,,Wheat,0.2142,2563.0,2353.0,
PR011563,2026-03-03,MANDI-053,Bathinda,Wheat,2255.15,2482.51,2368.828527057596,2275.0
PR010339,2026-04-25,MANDI-041,Ambala,Mustard,0.4885,5930.06,5407.37,5650.0
PR008342,2026-05-08,MANDI-008,Karnal,Sugarcane,3424.86,4060.635122435789,3742.75,3500.0
PR009868,2026-03-23,MANDI-014,,Wheat,1973.64,,,2275.0
PR006715,2026-05-15,MANDI-005,Ambala,Maize,2009.38,2499.56,2254.47,2090.0
PR007779,2026-04-15,MANDI-014,Karnal,Mustard,5290.63,5646.15,5468.39,0.565
PR003626,2026-01-17,MANDI-013,Kurukshetra,Cotton,6807.99,7556.0,7182.0,0.662
PR006541,2026-03-24,MANDI-022,Hisar,Rice,1872.0,2118.32,1995.3074203373908,2183.0
PR005794,2026-01-18,MANDI-032,Amritsar,Maize,2042.8075738151144,2420.66,2231.7320808322575,
PR000124,2026-01-08,MANDI-013,Ferozepur,Mustard,5392.49,0.5765,5578.81,
PR004975,2026-03-07,MANDI-025,Amritsar,Maize,1951.41,2198.6199062458213,2075.01,2090.0
PR011583,2026-08-14,MANDI-012,,Cotton,6753.832063085397,7183.44,6968.63,
PR003101,2026-06-29,MANDI-029,Ludhiana,Mustard,5644.0,6425.27,6034.44,5650.0
PR009221,2026-04-04,MANDI-025,Ambala,Mustard,5844.54,7254.0,6549.27,5650.0
PR011436,2026-05-21,MANDI-055,Bathinda,Rice,2243.12,2794.25,2518.69,2183.0
PR002379,2026-04-27,,Amritsar,Rice,2236.55,2357.04,2296.8,0.2183
PR003169,2026-03-02,MANDI-020,Bathinda,Mustard,5046.04,5878.4,0.5462,5650.0
PR005876,2026-03-24,MANDI-029,Amritsar,Cotton,6772.72,7394.03,7083.374191616854,6620.0
PR002172,2026-06-14,MANDI-034,Ludhiana,Wheat,2200.0,,2286.16,0.2275
PR004436,2026-06-27,MANDI-038,Sirsa,Cotton,6913.62,8129.47,7521.54,6620.0
PR005800,2026-07-04,MANDI-054,,Maize,2077.9,2249.0,2163.42,
PR003278,2026-06-28,MANDI-020,Kurukshetra,Maize,2153.82,0.2472,0.2313,2090.0
PR004579,2026-03-26,MANDI-017,Bathinda,Cotton,0.6043,7328.17,6685.45,
PR000519,2026-05-03,MANDI-026,Hisar,Cotton,6274.14,7098.492692502633,6686.32,6620.0
PR011076,2026-03-27,MANDI-047,Ferozepur,Maize,2144.13,2542.04,2343.08,0.209
PR009663,2026-08-20,MANDI-050,Jalandhar,Sugarcane,3164.73,3804.07,3484.398389954566,3500.0
PR006528,2026-05-03,MANDI-029,Ludhiana,Rice,2199.48,2667.28,2433.0,2183.0
PR009063,2026-10-03,MANDI-054,Ambala,Cotton,6672.13,7630.62,7151.37,6620.0
PR004993,2026-07-15,MANDI-038,Moga,Sugarcane,,3274.0,3145.88,3500.0
PR007941,2026-08-05,,,Wheat,2245.53,2430.17,2337.85,0.2275
PR011983,2026-04-12,,Ambala,Mustard,5837.43,6688.94,6263.185255534114,5650.0
PR000143,2026-02-12,MANDI-014,Ludhiana,Maize,2009.33,2482.84,2246.0,2090.0
PR011214,2026-08-26,MANDI-052,Sirsa,Sugarcane,0.3644,0.3914,3779.0,
PR001742,2026-06-21,MANDI-053,Amritsar,Cotton,6705.06,0.7944,7324.0,
PR006101,2026-07-26,MANDI-051,Jalandhar,Mustard,5696.0,6413.6643847659025,6054.89,
PR008237,2026-07-09,MANDI-005,Fatehabad,Mustard,,6530.3,6135.27,5650.0
PR008926,2026-06-25,MANDI-023,Kurukshetra,Cotton,5771.04,7107.62,,
PR000823,2026-11-08,,Patiala,Rice,0.2143,0.2638,2390.698794222006,2183.0
PR000774,2026-05-16,,Bathinda,Cotton,6100.21,,6472.97,6620.0
PR011082,2026-01-22,MANDI-055,Ludhiana,Mustard,4936.41,5565.52,0.5251,5650.0
PR003074,2026-07-04,MANDI-027,Patiala,Sugarcane,3017.33,,3162.98,3500.0
PR003082,2026-06-27,MANDI-039,Fatehabad,Sugarcane,3537.4293905568993,3989.0,3763.2144883476158,3500.0
PR011634,2026-08-18,MANDI-053,Jalandhar,Sugarcane,3348.66,0.3601,0.3475,
PR011144,2026-05-12,MANDI-021,,Cotton,6223.0,6683.05,6452.844508216249,6620.0
PR008557,2026-04-12,,Karnal,Mustard,5549.3,5850.15,5700.0,5650.0
PR011644,2026-06-17,MANDI-046,,Maize,1809.0,0.225,2029.44,
PR009727,2026-02-27,MANDI-001,Karnal,Wheat,2047.49,0.2355,2201.0,
PR009303,2026-07-31,,Fatehabad,Maize,1777.96,2087.5,1932.728585992563,2090.0
PR011744,2026-01-26,MANDI-013,Patiala,Rice,1993.0,2446.88,0.222,2183.0
PR000356,2026-05-08,MANDI-054,Bathinda,Mustard,5876.64,6246.35,6061.0,5650.0
