sensor_id,timestamp,humidity_percent,temperature_c,rainfall_mm
SEN041,,92.0,30.5,17.7
SEN039,,94.0,,49.3
SEN023,,68.0,33.8,-14.9
SEN008,,74.0,16.8,
SEN029,,,,0.8
SEN041,,86.0,16.0,-10.9
UNKNOWN,,39.0,16.2,8.889999999999999
SEN007,,65.0,34.4,24.5
SEN033,,78.0,,19.812
SEN039,,87.0,24.777777777777775,-9.8
SEN038,,56.0,39.5,0.75
SEN048,,80.0,28.111111111111107,
SEN020,,38.0,23.0,28.701999999999995
SEN011,,,39.5,13.3
SEN024,,71.0,29.88888888888889,18.541999999999998
SEN014,,49.0,32.111111111111114,32.7
SEN009,,85.0,25.3,12.7
SEN008,,44.0,37.388888888888886,1.65
SEN035,,54.0,34.111111111111114,36.6
SEN034,,41.0,26.8,25.0
SEN035,,84.0,22.2,28.1
SEN030,,35.0,36.5,0.27
SEN035,,62.0,26.38888888888889,1.0
SEN044,,78.0,39.0,-43.4
SEN035,,84.0,,41.2
SEN008,,80.0,29.5,18.9
SEN007,,76.0,16.9,26.9
SEN040,,81.0,29.7,16.256
SEN047,,92.0,25.611111111111107,-6.4
SEN024,,90.0,15.777777777777779,37.1
SEN004,2026-06-01 05:30:00,69.0,32.2,-34.2
SEN016,,94.0,16.77777777777778,-5.0
SEN003,,66.0,27.88888888888889,
SEN032,,89.0,,24.1
SEN025,,73.0,35.0,1.72
SEN011,,,36.5,20.3
SEN036,,76.0,,45.4
SEN041,,31.0,20.500000000000004,-19.1
SEN010,,93.0,23.2,25.1
SEN019,,94.0,16.27777777777778,25.0
SEN030,,40.0,30.4,23.8
SEN033,,66.0,21.0,6.2
SEN013,,49.0,20.0,24.1
SEN033,,33.0,23.77777777777778,-38.8
UNKNOWN,,50.0,21.999999999999996,18.3
SEN025,,62.0,21.611111111111114,-46.7
SEN009,,31.0,20.7,47.7
SEN032,,45.0,23.22222222222222,36.4
SEN015,,43.0,31.5,3.5
SEN029,,76.0,20.500000000000004,
SEN022,,89.0,37.3,46.2
SEN020,,,19.9,35.1
SEN041,,87.0,28.88888888888889,36.57599999999999
SEN023,,91.0,35.888888888888886,1.016
SEN040,,32.0,33.7,49.7
SEN001,,79.0,28.000000000000004,15.239999999999998
SEN034,,69.0,,-0.9
SEN018,,89.0,38.0,34.7
SEN019,,74.0,17.5,33.019999999999996
SEN036,,59.0,16.0,-28.3
SEN014,,46.0,28.9,1.89
SEN048,,77.0,29.11111111111111,4.6
SEN044,,43.0,32.888888888888886,10.413999999999998
SEN010,,51.0,23.3,-31.7
SEN006,,33.0,36.0,-9.3
SEN021,,82.0,27.38888888888889,37.6
SEN017,,88.0,35.111111111111114,35.2
SEN038,,54.0,39.0,47.4
SEN047,,41.0,21.722222222222218,3.302
SEN044,,,23.111111111111107,41.8
SEN005,,85.0,,20.8
SEN031,,59.0,34.5,49.9
SEN015,,61.0,39.72222222222222,22.6
SEN025,,54.0,32.5,1.7
SEN039,,85.0,31.6,
SEN037,,65.0,26.27777777777778,10.1
SEN001,,40.0,26.6,40.9
SEN013,,40.0,16.22222222222222,-39.9
SEN010,,93.0,,4.4
SEN017,,52.0,25.6,-7.8
SEN027,,90.0,29.72222222222222,6.5
SEN020,,93.0,25.1,17.7
SEN020,,95.0,16.5,0.06
SEN030,,89.0,27.722222222222225,33.1
SEN016,,95.0,,25.8
SEN007,,33.0,21.5,46.736
SEN009,,87.0,17.9,0.24
SEN003,,46.0,36.888888888888886,24.6
SEN024,,32.0,16.9,-26.7
SEN034,,33.0,26.3,15.493999999999998
SEN012,,30.0,29.7,8.6
SEN028,,45.0,39.1,46.6
SEN016,,90.0,,48.7
SEN012,,31.0,15.4,-25.3
SEN048,,77.0,35.5,0.73
SEN041,,35.0,,20.9
SEN011,,56.0,39.3,42.9
SEN012,,83.0,21.7,31.75
SEN043,,85.0,,1.016
SEN029,,48.0,26.38888888888889,14.2
SEN036,,30.0,33.22222222222222,3.6
SEN034,,95.0,16.22222222222222,39.5
SEN003,,35.0,30.72222222222222,31.5
SEN016,,64.0,,35.0
SEN017,,54.0,,27.8
SEN006,,53.0,24.5,46.99
SEN026,,48.0,15.777777777777779,30.2
SEN042,,32.0,20.11111111111111,36.6
SEN049,,76.0,18.22222222222222,1.23
SEN050,,30.0,30.38888888888889,-41.0
SEN015,,73.0,20.777777777777782,35.0
SEN010,,60.0,39.8,10.9
SEN024,,86.0,,3.302
SEN043,,54.0,24.0,15.5
SEN022,,73.0,19.2,41.5
UNKNOWN,,32.0,39.4,
SEN005,,58.0,33.4,-36.1
SEN013,,69.0,20.4,37.4
SEN032,,47.0,25.1,0.7
SEN023,,63.0,20.8,24.9
SEN035,,42.0,24.5,9.4
SEN008,,74.0,25.0,49.4
SEN022,,69.0,35.72222222222222,-9.3
SEN004,,73.0,18.000000000000004,16.2
SEN010,,,32.5,15.9
SEN012,,66.0,,13.4
SEN033,,86.0,30.27777777777778,48.513999999999996
SEN018,,,37.27777777777778,-36.7
SEN025,,63.0,21.722222222222218,42.8
SEN019,,59.0,38.9,1.13
SEN009,,68.0,39.2,
SEN042,,40.0,30.2,-9.0
SEN016,,68.0,,33.6
UNKNOWN,,45.0,33.77777777777778,
SEN007,,89.0,,24.3
SEN025,,91.0,32.72222222222222,23.4
SEN020,,94.0,,16.1
SEN049,,33.0,37.9,38.354
SEN017,,40.0,22.1,27.2
SEN003,,92.0,34.111111111111114,1.75
SEN026,,43.0,20.777777777777782,29.1
SEN013,,67.0,32.9,34.2
SEN040,,54.0,31.22222222222222,-4.1
SEN016,,95.0,33.27777777777778,8.8
SEN009,,71.0,31.0,
SEN027,,90.0,29.9,15.3
SEN016,,62.0,24.0,0.8
SEN001,,93.0,28.5,44.4
SEN017,,53.0,23.388888888888886,39.9
SEN017,,62.0,21.0,43.2
SEN017,,72.0,32.72222222222222,2.7
UNKNOWN,,,,16.4
SEN014,,74.0,,18.3
SEN002,,88.0,23.000000000000004,22.352
SEN046,,68.0,28.5,30.1
SEN003,,40.0,27.9,-6.4
SEN016,,54.0,16.8,12.2
SEN011,,67.0,24.3,
UNKNOWN,,75.0,18.9,-31.4
SEN012,,38.0,37.5,11.6
SEN024,,94.0,36.111111111111114,1.45
SEN001,,64.0,31.0,48.00599999999999
SEN004,,59.0,24.27777777777778,37.7
SEN007,,,34.3,
SEN025,,47.0,28.8,31.8
SEN035,,48.0,17.5,8.4
SEN006,,74.0,35.77777777777778,0.1
SEN040,,37.0,,47.2
SEN024,,81.0,36.3,25.3
SEN023,,61.0,16.22222222222222,-6.3
SEN041,,65.0,23.61111111111111,41.3
SEN019,,83.0,22.4,0.2
SEN016,,,39.1,28.9
SEN046,,61.0,40.0,31.3
SEN021,,47.0,27.3,28.7
SEN046,,93.0,25.3,5.08
SEN024,,33.0,18.8,
SEN044,,66.0,,44.8
SEN028,,41.0,36.72222222222222,32.257999999999996
SEN003,,58.0,38.1,43.7
SEN013,,39.0,27.38888888888889,20.1
SEN042,,68.0,20.2,7.6
SEN046,,91.0,35.7,0.16
SEN030,,54.0,39.22222222222222,9.1
SEN019,,90.0,20.888888888888886,33.9
SEN044,,,34.9,20.6
UNKNOWN,,56.0,32.9,-7.5
SEN046,,51.0,15.5,3.6
SEN007,,37.0,16.77777777777778,-45.7
SEN033,,,36.72222222222222,19.304
SEN001,,76.0,34.7,38.9
SEN004,,49.0,32.6,2.1
SEN003,,44.0,,21.2
SEN033,,54.0,33.6,44.6
SEN046,,53.0,21.9,0.73
SEN003,,,25.27777777777778,-31.3
SEN017,,86.0,,10.668
SEN048,,40.0,37.4,9.5
SEN007,,40.0,33.6,1.7
SEN031,,63.0,32.888888888888886,-14.7
SEN023,,55.0,29.27777777777778,46.9
UNKNOWN,,42.0,30.0,44.8
SEN015,,49.0,38.1,
SEN045,,,,28.448
SEN032,,68.0,35.5,1.37
SEN005,,58.0,,
SEN017,,30.0,30.77777777777778,2.54
SEN040,,86.0,,8.2
SEN023,,83.0,28.111111111111107,13.716
SEN004,,78.0,16.7,
SEN014,,46.0,25.1,18.1
SEN013,,60.0,,0.09
SEN047,,47.0,38.7,9.3
SEN036,,63.0,,0.7619999999999999
SEN032,,80.0,23.77777777777778,10.7
SEN036,,36.0,,15.5
SEN035,,46.0,,-13.4
SEN017,,89.0,30.8,42.2
SEN022,,69.0,,45.4
SEN019,,79.0,28.1,38.6
SEN007,,57.0,17.72222222222222,14.477999999999998
SEN031,,68.0,,19.2
SEN033,,36.0,15.61111111111111,45.4
SEN016,,,37.77777777777778,1.4
SEN039,,,20.4,16.6
SEN007,,40.0,34.77777777777778,6.6
UNKNOWN,,51.0,22.722222222222225,16.6
SEN037,,70.0,,8.1
SEN025,,,28.72222222222222,22.3
SEN048,,47.0,36.4,49.2
SEN048,,69.0,26.4,18.7
SEN048,,35.0,33.6,7.2
SEN034,,75.0,19.499999999999996,-13.6
SEN008,,82.0,30.5,21.3
SEN002,,81.0,15.5,-30.8
SEN007,,64.0,,14.4
SEN049,,56.0,38.5,10.7
SEN028,,48.0,,1.28
SEN023,,36.0,18.277777777777782,40.4
SEN008,,,18.3,37.8
SEN046,,89.0,17.2,-7.9
SEN023,,84.0,25.0,49.0
SEN007,,70.0,22.5,5.4
SEN028,,45.0,28.111111111111107,45.4
SEN031,,88.0,18.3,0.98
SEN041,,77.0,,1.46
SEN010,,52.0,35.5,0.52
SEN006,,79.0,,17.525999999999996
SEN021,,,35.5,32.0
SEN005,,47.0,30.22222222222222,46.482
SEN002,,88.0,19.3,5.842
SEN030,,55.0,33.72222222222222,49.0
SEN032,,58.0,16.38888888888889,28.0
SEN006,,71.0,33.5,44.196
SEN046,,53.0,15.4,0.85
SEN017,,46.0,25.500000000000004,45.9
SEN007,,72.0,23.4,2.032
SEN048,,43.0,32.0,5.5
SEN017,,44.0,25.3,1.23
SEN001,,46.0,29.6,21.8
SEN044,,39.0,21.3,1.9
UNKNOWN,,40.0,19.3,1.0
SEN032,,82.0,32.27777777777778,0.59
SEN048,,54.0,27.9,0.69
SEN027,,,20.7,35.2
SEN006,,52.0,,22.352
SEN007,,64.0,17.4,8.0
SEN013,,70.0,35.888888888888886,18.8
SEN003,,66.0,,45.72
SEN019,,82.0,23.8,13.3
SEN016,,51.0,29.5,20.4
SEN033,,83.0,19.88888888888889,
SEN002,,38.0,32.888888888888886,30.7
SEN043,,66.0,20.500000000000004,21.5
SEN002,,62.0,27.22222222222222,37.8
SEN045,,,22.8,
SEN029,,48.0,15.1,0.35
SEN029,,,,10.9
UNKNOWN,,44.0,25.500000000000004,37.337999999999994
SEN018,,90.0,39.4,30.3
SEN021,,84.0,15.61111111111111,11.3
SEN033,,83.0,24.61111111111111,-49.4
SEN020,,45.0,,
SEN044,,42.0,,45.211999999999996
SEN040,,67.0,30.38888888888889,37.0
SEN023,,87.0,37.611111111111114,42.7
SEN008,,52.0,26.22222222222222,-10.7
SEN016,,78.0,21.5,30.3
SEN029,,42.0,34.5,36.5
SEN002,,39.0,30.4,49.022
SEN024,,61.0,22.8,-22.7
SEN005,,67.0,,22.5
SEN018,,72.0,23.3,-48.6
UNKNOWN,,43.0,16.0,1.72
SEN049,,55.0,16.5,17.7
SEN048,,55.0,38.3,
SEN016,,47.0,16.27777777777778,
SEN028,,83.0,35.5,6.1
SEN018,,56.0,35.611111111111114,26.162
SEN049,,51.0,38.72222222222222,28.5
SEN029,,70.0,20.3,29.9
SEN032,,40.0,31.2,39.624
SEN009,,52.0,15.88888888888889,22.352
SEN034,,44.0,32.4,20.9
SEN049,,72.0,20.777777777777782,13.97
SEN005,,81.0,28.22222222222222,43.18
SEN002,,51.0,35.9,
SEN033,,53.0,18.0,1.72
SEN014,,38.0,,
SEN035,,88.0,31.27777777777778,18.3
SEN029,,35.0,30.8,27.8
SEN012,,31.0,33.22222222222222,45.0
SEN037,,,35.9,15.3
SEN005,,,38.388888888888886,-0.4
SEN014,,48.0,21.888888888888893,27.2
SEN029,,45.0,30.88888888888889,11.1
SEN007,,41.0,,29.4
SEN048,,55.0,32.27777777777778,47.4
SEN040,,60.0,31.9,3.0
SEN045,,86.0,,15.239999999999998
SEN034,,81.0,38.5,16.4
SEN009,,83.0,,8.3
SEN004,,61.0,32.72222222222222,48.767999999999994
SEN017,,59.0,38.22222222222222,2.7
SEN029,,54.0,,50.038
SEN016,,73.0,27.5,-44.3
SEN018,,40.0,21.5,23.1
SEN017,,88.0,38.7,6.5
SEN033,,81.0,31.5,16.2
SEN027,,66.0,32.6,24.1
SEN010,,43.0,38.388888888888886,33.0
SEN008,,64.0,34.0,1.05
SEN002,,72.0,,14.1
SEN030,,,,-11.2
SEN041,,47.0,17.77777777777778,40.5
SEN027,,78.0,32.0,35.3
SEN007,,74.0,23.0,12.3
SEN011,,51.0,36.111111111111114,1.3
SEN040,,64.0,23.3,15.8
SEN006,,51.0,21.8,8.3
SEN041,,78.0,26.4,26.9
SEN046,,,34.0,7.0
SEN038,,45.0,38.0,30.3
SEN024,,54.0,38.611111111111114,48.8
SEN025,,83.0,,37.6
SEN006,,45.0,22.2,0.1
SEN005,,,15.88888888888889,
SEN045,,41.0,18.72222222222222,1.89
SEN020,,87.0,24.8,32.0
SEN021,,,26.4,28.2
SEN026,,,18.77777777777778,-4.6
SEN031,,82.0,37.72222222222222,0.27
SEN014,,33.0,38.0,37.592
SEN047,,72.0,24.1,37.5
UNKNOWN,2026-09-06 05:30:00,86.0,,4.826
SEN034,,45.0,34.27777777777778,17.8
SEN037,,42.0,25.1,23.875999999999998
SEN024,,85.0,23.5,24.0
SEN026,2026-01-30 05:30:00,,26.8,4.5
SEN018,,87.0,33.3,27.2
SEN035,,,,47.4
SEN043,,32.0,33.1,-36.0
SEN031,,32.0,28.111111111111107,24.6
SEN019,,66.0,15.3,39.4
SEN040,,,24.4,14.731999999999998
UNKNOWN,,50.0,31.38888888888889,35.1
SEN003,,38.0,31.27777777777778,-49.5
SEN028,,47.0,27.722222222222225,1.66
SEN024,,,34.22222222222222,36.8
SEN032,,77.0,34.4,35.2
SEN027,,60.0,30.3,9.2
SEN032,,73.0,37.888888888888886,26.2
UNKNOWN,,89.0,30.72222222222222,31.8
SEN001,,92.0,21.0,24.383999999999997
SEN004,,63.0,,19.2
SEN014,,89.0,34.4,1.65
SEN008,,86.0,24.3,26.669999999999998
SEN022,,57.0,,17.0
SEN024,,,26.611111111111114,3.2
SEN035,,42.0,18.111111111111107,42.5
SEN033,,64.0,,
UNKNOWN,,51.0,32.7,13.5
SEN030,,88.0,15.61111111111111,47.1
SEN031,,51.0,,-19.7
SEN004,,64.0,,1.7
SEN050,,69.0,36.72222222222222,0.65
SEN042,,60.0,37.111111111111114,9.7
SEN034,,83.0,25.0,42.1
SEN013,,95.0,29.0,17.2
SEN048,,77.0,24.222222222222218,9.1
SEN050,,82.0,33.388888888888886,19.3
SEN002,2026-02-28 05:30:00,57.0,20.3,43.18
SEN002,,66.0,23.6,6.0
SEN005,,69.0,28.72222222222222,13.208
SEN007,,92.0,22.77777777777778,28.955999999999996
SEN037,,57.0,19.222222222222218,-36.1
SEN015,,59.0,36.2,35.7
SEN024,,88.0,27.5,17.8
SEN024,,90.0,24.9,21.081999999999997
SEN034,,80.0,32.888888888888886,37.0
SEN026,,47.0,32.388888888888886,24.3
SEN050,,75.0,22.8,33.7
SEN034,,81.0,27.8,32.1
SEN050,,80.0,38.1,45.5
SEN042,,40.0,15.38888888888889,1.3
SEN048,,57.0,25.500000000000004,36.8
SEN019,,52.0,17.11111111111111,48.513999999999996
SEN008,,,35.6,-43.7
SEN030,,59.0,27.4,49.0
SEN025,,,,17.525999999999996
SEN006,,70.0,29.38888888888889,13.3
SEN004,,,32.388888888888886,6.2
SEN014,,51.0,28.388888888888886,26.7
SEN026,,51.0,38.5,31.241999999999997
SEN025,,92.0,21.9,34.5
SEN005,,42.0,39.5,3.302
SEN018,,31.0,38.8,26.6
SEN050,,81.0,16.61111111111111,38.1
SEN010,,89.0,31.22222222222222,8.889999999999999
SEN023,,76.0,31.4,-37.3
SEN005,,65.0,18.000000000000004,1.86
SEN042,,,39.5,0.25
SEN022,,65.0,15.722222222222221,40.7
SEN005,,61.0,35.3,45.466
SEN045,,32.0,34.5,-11.8
SEN011,,33.0,,2.7
SEN040,,54.0,25.11111111111111,33.7
SEN006,2026-02-03 05:30:00,55.0,29.77777777777778,0.59
SEN012,,81.0,38.0,1.89
SEN011,,38.0,,47.9
SEN013,2026-07-03 05:30:00,,19.5,-41.0
SEN028,,82.0,37.388888888888886,36.7
SEN006,,34.0,21.7,49.2
SEN023,,77.0,15.7,1.1
SEN021,,79.0,22.9,0.67
SEN036,,57.0,17.2,
SEN022,,91.0,27.8,29.7
SEN042,,91.0,27.5,16.3
SEN032,,75.0,26.38888888888889,21.2
UNKNOWN,,54.0,29.4,45.6
SEN037,,75.0,31.27777777777778,0.35
SEN017,,45.0,27.277777777777775,0.96
SEN036,,34.0,22.0,1.5
SEN011,,41.0,21.22222222222222,35.05199999999999
SEN015,,65.0,32.3,38.1
SEN006,,88.0,27.11111111111111,33.3
SEN014,,,31.8,
SEN032,,93.0,21.611111111111114,-12.2
SEN019,,79.0,20.72222222222222,0.13
SEN035,,43.0,36.3,44.4
SEN006,,,30.5,23.3
SEN017,,40.0,39.611111111111114,21.4
SEN012,2026-08-13 05:30:00,61.0,28.277777777777782,23.5
SEN037,,75.0,32.27777777777778,-32.1
SEN013,,88.0,,41.4
SEN006,,65.0,27.1,11.2
SEN004,,58.0,21.6,7.2
SEN034,,33.0,,0.35
SEN008,,50.0,28.1,9.8
SEN038,,31.0,,18.2
SEN031,,,31.0,1.81
SEN045,,46.0,35.72222222222222,22.605999999999998
SEN024,,60.0,35.72222222222222,-46.7
SEN007,,87.0,32.8,40.132
SEN029,,83.0,31.0,44.958
SEN028,,66.0,25.4,18.287999999999997
SEN005,,56.0,20.6,0.99
SEN032,,60.0,32.7,0.8
SEN009,,66.0,37.7,13.3
SEN045,2026-08-08 05:30:00,81.0,38.0,21.6
SEN033,,93.0,33.111111111111114,5.6
SEN027,,73.0,31.38888888888889,12.7
SEN010,,91.0,26.5,20.2
SEN006,,,38.0,27.4
SEN020,,64.0,33.7,-15.7
UNKNOWN,,68.0,21.722222222222218,41.2
SEN009,,,20.3,-26.6
SEN038,,39.0,20.3,15.493999999999998
SEN040,,35.0,35.5,44.6
SEN042,2026-02-12 05:30:00,35.0,31.8,49.275999999999996
SEN002,,46.0,,
SEN041,,92.0,24.8,49.6
SEN049,,39.0,30.6,7.7
SEN013,,49.0,39.9,14.1
SEN017,,50.0,30.0,-0.1
SEN018,,80.0,22.88888888888889,41.6
SEN032,,30.0,27.7,4.8
SEN005,,37.0,37.3,19.2
SEN009,,84.0,20.8,40.9
SEN030,,80.0,24.5,0.9
SEN021,,89.0,15.8,16.256
SEN012,,31.0,,1.19
UNKNOWN,,77.0,21.0,9.3
SEN005,,68.0,33.611111111111114,47.8
SEN022,,68.0,15.61111111111111,18.5
SEN029,,32.0,,14.7
SEN004,,59.0,38.2,
SEN032,,,18.88888888888889,
SEN046,,85.0,21.27777777777778,7.9
SEN045,,31.0,35.5,0.5
SEN007,,81.0,19.9,30.225999999999996
SEN028,,69.0,,33.0
UNKNOWN,,44.0,38.1,7.9
SEN044,,50.0,27.5,25.5
SEN030,,36.0,25.72222222222222,47.244
SEN033,,66.0,36.6,3.3
SEN045,,93.0,19.8,28.7
SEN022,,89.0,16.6,26.3
SEN023,,72.0,24.111111111111114,49.9
SEN050,,82.0,31.27777777777778,26.924
SEN036,,33.0,27.5,12.1
SEN042,,77.0,,7.5
SEN025,,83.0,32.6,7.6
SEN010,,59.0,39.1,17.8
SEN015,,88.0,35.6,46.482
SEN026,,,,17.018
SEN016,,77.0,22.77777777777778,15.3
SEN049,,90.0,22.11111111111111,45.2
SEN021,,81.0,17.61111111111111,32.2
UNKNOWN,,53.0,,19.8
SEN014,,37.0,21.0,0.4
SEN026,,59.0,30.9,34.9
SEN027,,63.0,34.0,34.7
SEN010,,39.0,37.6,47.498
SEN016,,,32.8,7.9
SEN019,,65.0,,
SEN028,,67.0,30.9,0.95
SEN023,,63.0,36.388888888888886,34.8
SEN041,,50.0,24.0,8.636000000000001
SEN007,,78.0,16.5,40.6
UNKNOWN,,67.0,33.9,49.9
SEN039,,86.0,,0.58
SEN017,,65.0,18.2,-11.6
SEN033,,54.0,32.7,29.5
SEN020,,85.0,,13.1
SEN014,,49.0,17.38888888888889,26.669999999999998
SEN025,,51.0,28.9,33.3
SEN015,,82.0,,15.7
SEN032,,84.0,39.1,2.1
SEN031,,,23.111111111111107,0.78
SEN017,,34.0,27.9,23.1
SEN028,,55.0,33.1,-12.3
UNKNOWN,,62.0,19.61111111111111,14.0
SEN001,,40.0,23.3,22.6
SEN022,,59.0,23.277777777777782,18.034
SEN026,,67.0,19.3,16.256
SEN042,,71.0,23.61111111111111,8.1
SEN007,,67.0,33.8,27.9
SEN015,,67.0,24.777777777777775,28.7
SEN016,,,21.22222222222222,20.0
SEN039,,50.0,23.77777777777778,0.69
SEN035,,42.0,26.722222222222218,18.5
SEN003,,53.0,,42.3
SEN033,,30.0,33.8,49.275999999999996
SEN048,,85.0,32.1,25.6
SEN028,,52.0,29.4,20.5
SEN033,,70.0,32.5,39.0
SEN003,,70.0,17.72222222222222,21.8
SEN028,,,25.611111111111107,18.3
SEN029,,73.0,16.0,9.3
SEN022,,65.0,28.7,38.1
SEN011,,,32.111111111111114,41.2
SEN008,,61.0,25.0,15.5
UNKNOWN,,87.0,31.2,42.672
SEN011,,43.0,29.8,-12.5
SEN006,,51.0,15.88888888888889,-1.4
SEN005,,64.0,,2.0
SEN015,,46.0,,33.8
SEN050,,63.0,,
SEN037,,,31.5,5.588
SEN046,,,17.4,-48.7
SEN010,,66.0,15.2,24.0
SEN004,,78.0,,12.8
UNKNOWN,,31.0,16.38888888888889,42.7
SEN014,,55.0,26.27777777777778,46.99
UNKNOWN,,95.0,22.61111111111111,1.93
SEN017,,95.0,23.61111111111111,1.7
SEN017,,,36.7,47.9
SEN028,,69.0,24.7,45.211999999999996
SEN041,,74.0,31.8,-15.9
SEN009,,36.0,29.3,1.1
SEN041,,58.0,33.27777777777778,8.3
SEN022,,92.0,21.27777777777778,43.7
SEN006,,,20.11111111111111,15.4
SEN042,,78.0,26.2,-48.9
SEN017,,37.0,28.8,27.2
SEN027,,77.0,22.5,21.1
SEN031,,79.0,36.22222222222222,26.6
SEN005,,,15.277777777777779,26.416
SEN009,,89.0,33.8,24.4
SEN018,,69.0,35.22222222222222,19.6
SEN010,,,35.6,43.6
SEN007,,36.0,,47.244
SEN008,,44.0,23.5,22.0
SEN041,,95.0,25.11111111111111,48.6
SEN016,,63.0,27.4,9.7
UNKNOWN,,30.0,20.9,0.26
SEN041,,82.0,25.38888888888889,0.93
SEN018,,60.0,20.3,6.095999999999999
SEN044,,85.0,,0.7619999999999999
SEN021,,,28.9,4.7
SEN011,,39.0,35.77777777777778,0.89
SEN003,,,33.4,1.12
SEN021,,60.0,,0.56
SEN031,,92.0,34.111111111111114,33.6
SEN014,,66.0,24.111111111111114,30.479999999999997
SEN032,,68.0,30.5,15.9
SEN032,,54.0,23.388888888888886,14.4
SEN013,,32.0,33.0,29.5
SEN011,,,17.0,29.209999999999997
SEN002,,68.0,,22.9
SEN009,,87.0,17.8,47.4
SEN013,,37.0,15.2,47.7
SEN013,,41.0,39.388888888888886,-18.2
SEN023,,,35.27777777777778,46.3
SEN029,,32.0,31.27777777777778,42.4
UNKNOWN,,81.0,24.88888888888889,-37.9
SEN016,,72.0,19.1,45.3
SEN005,,42.0,26.2,21.081999999999997
UNKNOWN,,92.0,17.5,6.2
SEN039,,85.0,,1.0
SEN006,,48.0,30.4,32.7
SEN005,,50.0,,32.5
SEN020,,42.0,26.77777777777778,-6.5
SEN007,,67.0,39.5,47.6
SEN013,,57.0,28.9,15.2
SEN017,,59.0,34.27777777777778,-43.0
SEN043,,45.0,39.22222222222222,38.9
SEN005,,76.0,,34.8
UNKNOWN,,36.0,,10.7
SEN024,,88.0,32.1,-39.1
SEN048,,73.0,33.77777777777778,14.5
SEN013,,39.0,22.5,-1.9
SEN045,,68.0,30.9,1.7
SEN009,,,29.77777777777778,1.33
SEN015,,33.0,16.2,26.9
SEN032,,89.0,35.2,21.2
SEN027,,64.0,20.7,14.5
