arrival_id,date,mandi_id,crop_name,variety,farmer_count,arrival_quantity_qtl
ARR0020854,2026-06-18,MANDI-035,Sugarcane,Pusa-1121,,158.72
ARR0023442,2026-05-20,MANDI-056,Cotton,,73.0,258.28
ARR0011135,2026-06-20,MANDI-035,Rice,Premium,138.0,375.28
ARR0000197,2026-05-20,MANDI-001,Cotton,HD-2967,118.0,76.9
,2026-05-08,MANDI-002,Maize,HD-2967,46.0,285.57
ARR0001203,2026-04-04,MANDI-045,Cotton,PBW-343,12.0,26.830000000000002
ARR0009407,2026-04-05,MANDI-051,Mustard,Local,78.0,108.06
ARR0013714,2026-03-31,MANDI-038,Cotton,Premium,41.0,372.88
ARR0002798,2026-04-08,MANDI-043,Cotton,Hybrid,11.0,354.98
ARR0006770,2026-06-25,MANDI-015,Wheat,Hybrid,134.0,141.83
ARR0019634,2026-03-25,MANDI-013,Cotton,,45.0,181.37
ARR0012525,2026-06-25,MANDI-043,Maize,Premium,119.0,334.11
ARR0016292,2026-02-05,MANDI-049,Maize,Pusa-1121,36.0,414.58
ARR0019272,2026-05-03,MANDI-030,Sugarcane,Local,104.0,39.0
ARR0004049,2026-04-13,MANDI-003,Rice,Pusa-1121,56.0,214.12
ARR0002716,2026-07-17,MANDI-057,Sugarcane,Hybrid,106.0,413.89
ARR0014184,2026-12-02,MANDI-037,Mustard,PBW-343,,35.0
ARR0008333,2026-01-15,MANDI-054,Wheat,,133.0,3.5718
ARR0000429,2026-08-25,MANDI-039,Cotton,Hybrid,76.0,126.56
ARR0024925,2026-08-04,MANDI-024,Wheat,,83.0,183.44
ARR0019727,2026-04-30,MANDI-034,Cotton,PBW-343,81.0,403.81
ARR0002477,2026-03-28,MANDI-020,Rice,Local,150.0,311.39
ARR0000342,2026-06-17,MANDI-033,Cotton,Premium,30.0,191.48
ARR0023820,2026-07-25,MANDI-029,Mustard,Local,,272.0
ARR0010204,2026-07-21,MANDI-006,Rice,,102.0,25.84
ARR0000398,2026-03-25,MANDI-029,Maize,PBW-343,44.0,20.63
ARR0020708,2026-06-01,MANDI-054,Cotton,Hybrid,60.0,410.19999999999993
ARR0020105,2026-02-19,MANDI-028,Mustard,Pusa-1121,60.0,485.63
ARR0019842,2026-03-30,MANDI-056,Sugarcane,Pusa-1121,112.0,29.48
ARR0014214,2026-02-21,MANDI-031,Sugarcane,Hybrid,123.0,478.99
ARR0017781,2026-05-24,MANDI-031,Sugarcane,PBW-343,46.0,460.65000000000003
ARR0009910,2026-04-28,MANDI-041,Cotton,Pusa-1121,42.0,372.43
ARR0008506,2026-03-02,MANDI-024,Rice,Hybrid,96.0,74.11
ARR0023886,2026-07-12,MANDI-011,Maize,Local,14.0,156.64
ARR0006149,2026-04-27,MANDI-041,Cotton,Pusa-1121,103.0,46.38
ARR0023964,2026-07-20,MANDI-008,Rice,,,81.67
ARR0003143,2026-08-24,MANDI-034,Rice,HD-2967,113.0,401.5
ARR0002588,2026-06-05,MANDI-040,Mustard,,137.0,44.89
ARR0002948,2026-02-18,MANDI-019,Wheat,,146.0,12.0
ARR0015103,2026-02-22,MANDI-050,Cotton,Pusa-1121,73.0,242.45000000000002
ARR0011288,2026-04-01,MANDI-043,Cotton,Pusa-1121,43.0,272.59
ARR0009656,2026-04-01,MANDI-018,Sugarcane,HD-2967,,7.0
ARR0002899,2026-07-23,MANDI-017,Cotton,Hybrid,134.0,41.0
ARR0013711,2026-03-29,MANDI-028,Sugarcane,Hybrid,15.0,47.79
ARR0009578,2026-04-12,MANDI-016,Maize,Pusa-1121,20.0,309.79
ARR0005981,2026-05-04,MANDI-004,Rice,Premium,145.0,228.42000000000002
ARR0023291,2026-11-02,MANDI-020,Wheat,Premium,89.0,80.86
ARR0009654,2026-03-13,MANDI-030,Sugarcane,,31.0,24.0
ARR0012458,2026-05-08,MANDI-039,Mustard,Pusa-1121,24.0,276.83
ARR0014621,2026-05-23,MANDI-056,Sugarcane,Local,80.0,26.0
ARR0016696,2026-01-31,MANDI-039,Maize,Pusa-1121,132.0,62.02
ARR0004195,2026-07-17,MANDI-035,Mustard,PBW-343,129.0,167.84
ARR0014009,2026-04-08,MANDI-007,Maize,,85.0,418.67
ARR0002509,2026-05-31,MANDI-013,Maize,HD-2967,141.0,22.0
ARR0017972,2026-02-26,MANDI-034,Rice,Local,6.0,293.4
ARR0002169,2026-01-09,MANDI-039,Rice,Hybrid,41.0,0.5489
,2026-08-19,MANDI-044,Wheat,Hybrid,138.0,160.17
ARR0003269,2026-04-03,MANDI-046,Rice,PBW-343,43.0,410.98
ARR0009004,2026-03-27,MANDI-023,Wheat,,120.0,4.5548
ARR0018741,2026-02-20,MANDI-056,Sugarcane,Premium,31.0,256.67
ARR0014531,2026-02-03,MANDI-036,Cotton,,38.0,4.5342
ARR0003705,2026-04-10,MANDI-002,Mustard,Hybrid,,245.01
ARR0010827,2026-05-29,MANDI-016,Rice,Premium,95.0,156.22
ARR0018637,2026-04-04,MANDI-046,Rice,Hybrid,67.0,77.12
ARR0007570,2026-07-29,MANDI-019,Mustard,Premium,105.0,326.35
ARR0011179,2026-03-30,MANDI-040,Mustard,,26.0,327.55
ARR0009296,2026-05-10,MANDI-001,Maize,,,23.5
ARR0019940,2026-08-21,MANDI-022,Sugarcane,HD-2967,68.0,16.33
ARR0004811,2026-05-26,MANDI-020,Rice,Hybrid,77.0,89.74
ARR0020960,2026-03-03,MANDI-047,Mustard,Premium,,323.15
ARR0002791,2026-02-06,MANDI-055,Mustard,PBW-343,47.0,211.28
ARR0012957,2026-02-10,MANDI-019,Rice,Local,36.0,278.08
ARR0022933,2026-08-04,MANDI-037,Cotton,Premium,9.0,28.54
ARR0014544,2026-07-31,MANDI-022,Maize,Pusa-1121,116.0,114.88
ARR0013198,2026-04-25,MANDI-010,Wheat,Pusa-1121,43.0,59.22
ARR0007340,2026-03-23,MANDI-012,Wheat,Premium,80.0,215.70000000000002
ARR0020658,2026-08-01,MANDI-021,Rice,Hybrid,96.0,409.66
ARR0001088,2026-05-07,MANDI-017,Mustard,Pusa-1121,94.0,495.58
ARR0024650,2026-08-18,MANDI-049,Mustard,Hybrid,61.0,0.1134
ARR0008152,2026-06-08,MANDI-008,Cotton,,147.0,188.7
ARR0021890,2026-06-02,MANDI-009,Sugarcane,,84.0,493.91
ARR0007925,2026-07-19,MANDI-037,Mustard,Local,32.0,66.2
ARR0017611,2026-04-12,MANDI-024,Maize,Hybrid,77.0,165.63
ARR0016207,2026-07-07,MANDI-032,Maize,Pusa-1121,34.0,31.0
ARR0024181,2026-07-05,MANDI-015,Sugarcane,Local,20.0,110.39
ARR0004419,2026-03-21,MANDI-006,Sugarcane,Hybrid,105.0,64.7
ARR0006199,2026-11-02,MANDI-053,Sugarcane,Local,79.0,153.27
ARR0014957,2026-01-09,MANDI-019,Mustard,Hybrid,79.0,403.96000000000004
ARR0023574,2026-02-26,MANDI-023,Mustard,Premium,129.0,431.18
ARR0017021,2026-03-14,MANDI-020,Rice,Pusa-1121,72.0,25.36
ARR0001428,2026-07-10,MANDI-024,Maize,Hybrid,106.0,77.75
ARR0002493,2026-04-14,MANDI-006,Rice,Local,63.0,1.1525
ARR0013505,2026-06-06,MANDI-052,Mustard,,,96.35
ARR0002010,2026-03-21,MANDI-033,Wheat,Local,12.0,4.3201
ARR0002534,2026-07-02,MANDI-007,Mustard,Pusa-1121,21.0,43.98
ARR0009802,2026-09-07,MANDI-026,Cotton,HD-2967,12.0,486.01
ARR0015940,2026-03-13,MANDI-028,Maize,,18.0,298.47
ARR0005817,2026-03-20,MANDI-013,Maize,,12.0,287.47
ARR0023731,2026-03-15,MANDI-008,Sugarcane,HD-2967,,389.78
ARR0018857,2026-01-25,MANDI-042,Sugarcane,Hybrid,113.0,151.28
ARR0010088,2026-01-09,MANDI-049,Mustard,PBW-343,,136.17
ARR0020189,2026-05-24,MANDI-057,Maize,,68.0,241.75
ARR0022768,2026-06-28,MANDI-024,Mustard,Premium,42.0,443.71000000000004
ARR0018919,2026-03-17,MANDI-024,Mustard,,132.0,78.07
ARR0006562,2026-04-19,MANDI-014,Wheat,PBW-343,25.0,25.0
ARR0004149,2026-04-06,MANDI-003,Rice,Premium,48.0,318.3
ARR0024592,2026-08-28,MANDI-037,Rice,PBW-343,55.0,62.98
ARR0011429,2026-08-04,MANDI-042,Wheat,Local,101.0,193.12
ARR0018153,2026-02-05,MANDI-027,Cotton,Local,141.0,451.02
ARR0006286,2026-03-03,MANDI-050,Maize,PBW-343,7.0,30.0
ARR0000231,2026-06-07,MANDI-049,Sugarcane,Hybrid,82.0,185.56
ARR0018527,2026-08-01,MANDI-010,Wheat,Local,144.0,425.38
ARR0008215,2026-05-22,MANDI-003,Sugarcane,Local,73.0,7.0
ARR0010793,2026-08-23,MANDI-022,Rice,Hybrid,132.0,425.79
ARR0006601,2026-06-22,MANDI-015,Mustard,HD-2967,5.0,1.4726
ARR0023800,2026-09-09,MANDI-012,Sugarcane,PBW-343,123.0,1.0
ARR0021788,2026-06-07,MANDI-016,Sugarcane,Hybrid,143.0,153.67
ARR0019846,2026-06-21,MANDI-024,Maize,Pusa-1121,40.0,259.71
ARR0015205,2026-01-25,MANDI-011,Rice,HD-2967,56.0,355.64
ARR0008780,2026-01-30,MANDI-038,Rice,PBW-343,130.0,38.0
ARR0006070,2026-06-06,MANDI-034,Wheat,,65.0,312.94
ARR0002035,2026-06-06,MANDI-049,Maize,,97.0,153.95
ARR0002214,2026-01-24,MANDI-044,Maize,Pusa-1121,112.0,25.92
ARR0017078,2026-06-29,MANDI-007,Mustard,Pusa-1121,31.0,31.0
ARR0004860,2026-03-30,MANDI-013,Mustard,Hybrid,143.0,96.93
ARR0024883,2026-07-18,MANDI-028,Maize,Hybrid,131.0,29.87
ARR0012995,2026-06-04,MANDI-057,Mustard,,26.0,385.54
ARR0002230,2026-05-31,MANDI-033,Wheat,Pusa-1121,127.0,364.6
ARR0002276,2026-08-30,MANDI-057,Sugarcane,,113.0,1.4327
,2026-09-06,MANDI-046,Cotton,Local,135.0,360.53
ARR0005679,2026-03-03,MANDI-015,Cotton,Hybrid,51.0,140.36
ARR0018820,2026-10-05,MANDI-032,Mustard,Premium,116.0,181.14
ARR0002749,2026-01-24,MANDI-031,Rice,,,118.37
ARR0010291,2026-06-21,MANDI-036,Cotton,PBW-343,118.0,456.27
ARR0004786,2026-08-01,MANDI-015,Sugarcane,,51.0,185.58
ARR0004085,2026-05-19,MANDI-056,Maize,PBW-343,38.0,106.05
ARR0001476,2026-05-19,MANDI-048,Sugarcane,Local,68.0,323.65
ARR0014866,2026-04-15,MANDI-032,Sugarcane,PBW-343,53.0,402.65
ARR0005733,2026-09-08,MANDI-048,Sugarcane,Hybrid,42.0,118.61
ARR0014885,2026-07-26,MANDI-035,Rice,Premium,14.0,441.08
ARR0009501,2026-05-18,MANDI-045,Maize,PBW-343,62.0,45.0
ARR0017324,2026-01-30,MANDI-029,Mustard,Premium,140.0,311.41
ARR0018785,2026-08-09,MANDI-009,Wheat,Premium,81.0,168.48
ARR0014174,2026-04-23,MANDI-031,Sugarcane,,83.0,246.35
ARR0012348,2026-05-16,MANDI-057,Maize,Pusa-1121,,28.0
ARR0002860,2026-08-25,MANDI-038,Rice,,90.0,162.44
,2026-04-06,MANDI-008,Wheat,Pusa-1121,116.0,245.43
ARR0012382,2026-06-29,MANDI-011,Mustard,Hybrid,,36.39
ARR0011204,2026-10-03,MANDI-045,Maize,PBW-343,,311.7
ARR0005655,2026-01-09,MANDI-025,Rice,Premium,124.0,461.3
ARR0023591,2026-05-18,MANDI-039,Cotton,HD-2967,50.0,160.01
ARR0022554,2026-11-03,MANDI-055,Rice,Hybrid,24.0,333.41
ARR0024390,2026-08-05,MANDI-042,Rice,,7.0,393.63
ARR0008952,2026-04-25,MANDI-002,Sugarcane,Pusa-1121,89.0,394.35
ARR0013573,2026-06-08,MANDI-015,Sugarcane,Hybrid,6.0,408.09
ARR0023352,2026-06-06,MANDI-044,Wheat,,6.0,252.05
ARR0004259,2026-07-10,MANDI-012,Cotton,,22.0,388.22
ARR0024540,2026-06-14,MANDI-035,Sugarcane,HD-2967,,38.59
ARR0012558,2026-08-21,MANDI-034,Cotton,Premium,7.0,33.0
ARR0013252,2026-07-30,MANDI-003,Cotton,HD-2967,93.0,2.1771000000000003
ARR0012739,2026-07-30,MANDI-045,Rice,,,388.99
ARR0024633,2026-03-13,MANDI-011,Rice,PBW-343,23.0,18.99
ARR0016432,2026-02-19,MANDI-027,Cotton,Premium,128.0,480.16
ARR0001973,2026-01-08,MANDI-040,Mustard,PBW-343,115.0,435.59000000000003
ARR0019423,2026-01-31,MANDI-039,Mustard,Premium,148.0,292.19
ARR0018095,2026-06-03,MANDI-017,Rice,HD-2967,104.0,45.0
ARR0002502,2026-06-23,MANDI-041,Rice,Premium,63.0,123.85999999999999
ARR0020339,2026-03-31,MANDI-028,Mustard,PBW-343,127.0,10.84
ARR0007666,2026-07-31,MANDI-053,Wheat,,69.0,258.79
ARR0000753,2026-07-11,MANDI-008,Wheat,Pusa-1121,36.0,481.46000000000004
ARR0009620,2026-07-19,MANDI-017,Maize,PBW-343,33.0,41.35
ARR0004038,2026-07-14,MANDI-040,Rice,PBW-343,69.0,355.78
ARR0003704,2026-01-01,MANDI-010,Cotton,Premium,7.0,0.3457
ARR0008822,2026-06-20,MANDI-043,Mustard,Hybrid,31.0,341.77
ARR0005546,2026-09-05,MANDI-014,Wheat,PBW-343,137.0,29.0
ARR0014760,2026-01-20,MANDI-047,Maize,Pusa-1121,,407.2
ARR0008484,2026-04-09,MANDI-039,Sugarcane,Pusa-1121,63.0,491.69
ARR0007108,2026-02-28,MANDI-055,Maize,PBW-343,108.0,225.72
ARR0000675,2026-02-07,MANDI-050,Cotton,HD-2967,12.0,176.92
ARR0005515,2026-02-24,MANDI-054,Mustard,,70.0,178.87
ARR0023195,2026-01-05,MANDI-036,Mustard,Premium,136.0,408.7099999999999
ARR0008616,2026-01-20,MANDI-004,Mustard,Local,147.0,155.42
ARR0011388,2026-08-06,MANDI-016,Mustard,Pusa-1121,40.0,10.0
ARR0009854,2026-06-02,MANDI-011,Maize,HD-2967,136.0,39.0
ARR0024014,2026-04-21,MANDI-017,Sugarcane,Hybrid,73.0,171.5
ARR0006483,2026-04-29,MANDI-034,Sugarcane,,93.0,189.87
ARR0020999,2026-08-29,MANDI-013,Cotton,Pusa-1121,73.0,276.65
ARR0003190,2026-08-09,MANDI-027,Mustard,,109.0,447.07
ARR0013399,2026-04-05,MANDI-045,Wheat,Premium,43.0,415.6
ARR0018530,2026-08-31,MANDI-008,Cotton,,108.0,5.0
ARR0005184,2026-02-11,MANDI-026,Wheat,Local,,10.57
ARR0023040,2026-02-19,MANDI-038,Cotton,PBW-343,18.0,355.5
ARR0010762,2026-03-07,MANDI-038,Cotton,Pusa-1121,140.0,296.79
ARR0022839,2026-07-06,MANDI-024,Wheat,Premium,59.0,322.05
ARR0000200,2026-03-26,MANDI-031,Wheat,,117.0,370.63
ARR0018054,2026-03-02,MANDI-021,Cotton,,126.0,71.58
ARR0021355,2026-07-01,MANDI-053,Sugarcane,Local,8.0,348.56
ARR0009384,2026-12-05,MANDI-038,Rice,Premium,141.0,222.33
ARR0008050,2026-04-27,MANDI-022,Wheat,,107.0,229.36
ARR0016904,2026-08-26,MANDI-021,Cotton,Pusa-1121,149.0,18.0
ARR0021340,2026-03-10,MANDI-021,Wheat,HD-2967,77.0,133.21
ARR0013462,2026-05-27,MANDI-035,Mustard,Local,102.0,488.38
ARR0013518,2026-08-03,MANDI-024,Wheat,Local,22.0,32.26
ARR0022679,2026-06-22,MANDI-022,Rice,Premium,,310.12
ARR0021328,2026-06-17,MANDI-011,Rice,HD-2967,87.0,302.91
ARR0002215,2026-06-21,MANDI-018,Mustard,PBW-343,14.0,40.0
ARR0021259,2026-03-07,MANDI-036,Wheat,Pusa-1121,130.0,201.02
ARR0008961,2026-06-03,MANDI-004,Mustard,Hybrid,19.0,269.64
ARR0012533,2026-08-28,MANDI-015,Mustard,Local,36.0,164.03
ARR0005019,2026-07-16,MANDI-048,Mustard,Local,66.0,103.01
ARR0021299,2026-07-23,MANDI-050,Mustard,Premium,113.0,17.0
ARR0014712,2026-02-24,MANDI-041,Wheat,PBW-343,63.0,22.489999999999995
ARR0018335,2026-01-29,MANDI-028,Maize,Pusa-1121,20.0,227.28000000000003
ARR0006137,2026-04-06,MANDI-048,Maize,PBW-343,47.0,231.48
,2026-05-19,MANDI-023,Sugarcane,PBW-343,128.0,412.93999999999994
ARR0021669,2026-06-20,MANDI-012,Maize,Hybrid,137.0,463.53000000000003
ARR0003712,2026-07-02,MANDI-057,Wheat,Premium,,257.08
ARR0001924,2026-06-06,MANDI-054,Rice,HD-2967,,440.88
ARR0002791,2026-02-06,MANDI-055,Mustard,PBW-343,47.0,211.28
ARR0023382,2026-04-03,MANDI-013,Wheat,Premium,74.0,18.55
ARR0024128,2026-03-24,MANDI-027,Maize,HD-2967,64.0,120.76
ARR0006109,2026-07-15,MANDI-039,Rice,Local,115.0,496.52
ARR0012814,2026-07-05,MANDI-024,Sugarcane,Hybrid,7.0,349.75
ARR0005571,2026-08-28,MANDI-053,Wheat,,115.0,496.4
ARR0020401,2026-08-13,MANDI-021,Mustard,Local,71.0,244.85
ARR0011080,2026-01-14,MANDI-030,Rice,PBW-343,141.0,240.18
ARR0016547,2026-06-26,MANDI-040,Sugarcane,,46.0,357.81
ARR0017342,2026-08-08,MANDI-012,Rice,Pusa-1121,83.0,436.14
ARR0022098,2026-04-16,MANDI-048,Rice,Hybrid,72.0,11.55
ARR0021088,2026-02-06,MANDI-041,Mustard,,40.0,152.13
ARR0003046,2026-08-05,MANDI-012,Cotton,Pusa-1121,97.0,498.07
ARR0015533,2026-06-26,MANDI-055,Maize,Pusa-1121,,463.12
ARR0020782,2026-06-01,MANDI-021,Rice,HD-2967,76.0,230.67
ARR0008024,2026-01-11,MANDI-029,Rice,Local,16.0,55.88
ARR0006965,2026-02-09,MANDI-015,Rice,Premium,149.0,406.41
ARR0002409,2026-11-06,MANDI-001,Cotton,Local,38.0,195.69
ARR0006420,2026-08-06,MANDI-023,Rice,Local,96.0,260.7
ARR0007794,2026-06-06,MANDI-012,Maize,,147.0,19.27
ARR0016831,2026-07-23,MANDI-009,Rice,Local,71.0,223.59000000000003
ARR0024611,2026-03-27,MANDI-053,Mustard,HD-2967,45.0,20.309999999999995
ARR0012843,2026-03-01,MANDI-042,Rice,Pusa-1121,128.0,379.42999999999995
ARR0002056,2026-04-18,MANDI-048,Sugarcane,Premium,103.0,279.57
ARR0020089,2026-07-07,MANDI-041,Mustard,PBW-343,51.0,362.66
ARR0011027,2026-05-20,MANDI-024,Maize,Premium,71.0,446.81
ARR0015396,2026-05-20,MANDI-051,Sugarcane,PBW-343,86.0,25.0
ARR0007269,2026-01-21,MANDI-053,Maize,Premium,146.0,218.99
ARR0014557,2026-07-25,MANDI-047,Sugarcane,Local,65.0,56.54
ARR0022876,2026-08-13,MANDI-052,Maize,PBW-343,83.0,375.15
ARR0003097,2026-03-02,MANDI-018,Mustard,PBW-343,12.0,156.85
ARR0004700,2026-07-20,MANDI-052,Sugarcane,PBW-343,13.0,279.66
ARR0022023,2026-08-31,MANDI-014,Mustard,Local,72.0,491.42
ARR0008608,2026-04-08,MANDI-014,Rice,Pusa-1121,115.0,403.87
ARR0021026,2026-07-19,MANDI-018,Rice,HD-2967,147.0,418.53999999999996
ARR0008158,2026-05-08,MANDI-010,Rice,PBW-343,47.0,254.12
ARR0004933,2026-05-22,MANDI-019,Wheat,PBW-343,47.0,131.99
ARR0010220,2026-04-14,MANDI-011,Maize,HD-2967,11.0,181.15000000000003
ARR0017103,2026-03-14,MANDI-042,Rice,Local,121.0,32.0
ARR0005077,2026-05-16,MANDI-030,Maize,Hybrid,118.0,407.56
ARR0006915,2026-06-29,MANDI-017,Mustard,PBW-343,115.0,75.22
ARR0022385,2026-06-08,MANDI-026,Mustard,PBW-343,63.0,31.8
ARR0009730,2026-08-28,MANDI-047,Rice,PBW-343,47.0,157.97
ARR0005100,2026-05-16,MANDI-051,Maize,Premium,87.0,350.32
ARR0021334,2026-01-27,MANDI-053,Maize,Premium,71.0,6.0
ARR0007338,2026-03-17,MANDI-048,Rice,Local,,209.82
ARR0016170,2026-06-24,MANDI-032,Rice,HD-2967,,370.98
ARR0013792,2026-04-01,MANDI-049,Rice,PBW-343,145.0,59.51
ARR0007917,2026-09-06,MANDI-007,Sugarcane,Hybrid,130.0,29.35
ARR0007919,2026-07-27,MANDI-023,Wheat,Local,139.0,416.68
ARR0016589,2026-10-02,MANDI-009,Rice,Premium,44.0,492.8
ARR0022064,2026-08-06,MANDI-004,Sugarcane,PBW-343,138.0,46.0
ARR0013197,2026-05-07,MANDI-006,Maize,Hybrid,,294.27
ARR0012899,2026-03-15,MANDI-029,Rice,Pusa-1121,127.0,3.4837000000000002
ARR0024644,2026-05-04,MANDI-009,Mustard,Pusa-1121,64.0,174.81
ARR0022381,2026-02-04,MANDI-001,Maize,Hybrid,121.0,2.2044
ARR0024611,2026-03-27,MANDI-053,Mustard,HD-2967,45.0,20.309999999999995
ARR0009914,2026-04-07,MANDI-020,Wheat,Premium,18.0,491.65
ARR0005461,2026-05-11,MANDI-002,Cotton,,74.0,184.97
ARR0002436,2026-06-24,MANDI-009,Mustard,Pusa-1121,92.0,222.78
ARR0009151,2026-07-05,MANDI-045,Wheat,HD-2967,25.0,280.64
ARR0011489,2026-03-14,MANDI-047,Maize,Local,125.0,24.0
ARR0021080,2026-03-22,MANDI-030,Cotton,Local,77.0,301.81
ARR0007827,2026-04-23,MANDI-004,Wheat,Local,16.0,18.0
ARR0016426,2026-01-07,MANDI-030,Rice,Pusa-1121,55.0,264.58
ARR0004346,2026-02-06,MANDI-008,Cotton,Premium,133.0,214.42
ARR0022927,2026-01-12,MANDI-037,Mustard,Pusa-1121,,146.35
